City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,daru,-9.0763,143.2092,26.06,83,100,5.25,PG,1731270047
1,as sulayyil,20.4607,45.5779,22.16,35,1,2.81,SA,1731270048
2,college,64.8569,-147.8028,-18.01,71,20,1.54,US,1731270049
3,iqaluit,63.7506,-68.5145,-3.15,63,75,5.14,CA,1731270050
4,utrik,11.2278,169.8474,28.33,76,0,9.3,MH,1731270052
5,waitangi,-43.9535,-176.5597,14.9,97,100,2.24,NZ,1731270053
6,wailua homesteads,22.0669,-159.378,25.44,87,100,5.66,US,1731270054
7,puerto natales,-51.7236,-72.4875,10.25,62,100,10.8,CL,1731269793
8,whitehorse,60.7161,-135.0538,-1.57,74,75,5.66,CA,1731270056
9,zhezqazghan,47.7833,67.7667,1.7,97,100,8.62,KZ,1731270059
10,ribeira grande,38.5167,-28.7,20.43,83,40,7.72,PT,1731270060
11,puerto del rosario,28.5004,-13.8627,21.86,83,0,5.66,ES,1731270061
12,ancud,-41.8697,-73.8203,10.32,79,71,7.31,CL,1731270062
13,adamstown,-25.066,-130.1015,22.06,81,100,6.18,PN,1731270063
14,kayangel,8.0823,134.7173,27.93,77,22,2.01,PW,1731270064
15,launceston,-41.45,147.1667,8.8,93,91,3.6,AU,1731270065
16,badger,64.8,-147.5333,-18.05,76,0,1.54,US,1731269938
17,east london,-33.0153,27.9116,17.04,88,100,1.83,ZA,1731270067
18,port-aux-francais,-49.35,70.2167,4.42,84,58,9.8,TF,1731270068
19,plettenberg bay,-34.0527,23.3716,15.06,86,32,2.48,ZA,1731270069
20,invercargill,-46.4,168.35,10.57,66,90,6.26,NZ,1731270071
21,bhamo,24.2667,97.2333,21.13,84,96,0.34,MM,1731270072
22,vangaindrano,-23.35,47.6,23.81,91,92,3.13,MG,1731270073
23,yellowknife,62.456,-114.3525,-9.71,85,75,3.6,CA,1731270074
24,bethel,41.3712,-73.414,13.85,47,99,1.34,US,1731270075
25,antofagasta,-23.65,-70.4,19.6,74,5,3.97,CL,1731270076
26,albany,42.6001,-73.9662,11.36,43,100,0.89,US,1731270039
27,keflavik,64.0049,-22.5624,6.24,81,75,12.86,IS,1731270079
28,tazovsky,67.4667,78.7,-10.68,92,100,7.62,RU,1731270080
29,baise city,23.8997,106.6133,18.62,70,3,0.47,CN,1731270081
30,thakhek,17.4103,104.8307,19.22,81,61,1.23,LA,1731270082
31,chernyshevskiy,63.0128,112.4714,-13.84,95,100,2.84,RU,1731270083
32,uturoa,-16.7333,-151.4333,27.22,81,100,6.03,PF,1731270085
33,kendari,-3.945,122.4989,24.1,95,42,0.46,ID,1731270086
34,jamestown,42.097,-79.2353,10.01,96,100,4.63,US,1731270087
35,stanley,54.868,-1.6985,7.51,88,0,3.6,GB,1731270088
36,grytviken,-54.2811,-36.5092,0.12,77,42,1.53,GS,1731270089
37,udachny,66.4167,112.4,-18.01,98,85,1.93,RU,1731270090
38,kutum,14.2,24.6667,22.79,25,100,5.77,SD,1731270091
39,anqing,30.5092,117.0506,16.75,70,0,2.74,CN,1731269823
40,yamada,39.4667,141.95,10.39,78,100,1.88,JP,1731270094
41,puerto ayora,-0.7393,-90.3518,23.64,77,75,4.02,EC,1731270096
42,constantia,44.1833,28.65,6.38,82,99,5.62,RO,1731269883
43,tura,25.5198,90.2201,19.43,89,0,1.37,IN,1731270098
44,kideksha,56.4167,40.5167,2.25,69,100,3.34,RU,1731270099
45,enewetak,11.3474,162.3373,28.2,72,78,10.21,MH,1731270100
46,port hedland,-20.3167,118.5667,27.03,78,18,5.14,AU,1731270101
47,hamilton,39.1834,-84.5333,17.21,94,100,6.69,US,1731270033
48,karachayevsk,43.774,41.9142,3.17,54,91,2.41,RU,1731270103
49,ushuaia,-54.8,-68.3,7.81,71,75,8.23,AR,1731270071
